,roles,companies,locations,experience,skills
0,Consult Radiologist,SRL Diagnostics,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Trivandrum/Thiruvananthapuram, Mumbai (All Areas)",0-2 Yrs,"['mdaemon', 'ct', 'usg', 'radiology']"
1,Embedded Test Engineer,Cognizant,"Temp. WFH - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-7 Yrs,"['iot', 'embedded', 'qc life cycle', 'defect management', 'api testing', 'testing', 'it skills', 'device testing']"
2,Instructional Designer,Accenture,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,"['instructional design', 'captivate', 'e-learning', 'storyboarding', 'wbt', 'sap enable now', 'articulate storyline', 'camtasia']"
3,JOB Opening For Coupa,HCLTech,"Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,"['procurement', 'implementing', 'coupa', 'troubleshooting', 'erp', 'database optimization', 'scm', 'coupa strategic']"
4,Physiotherapist,TEAMLEASE SERVICES LIMITED,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",0-5 Yrs,['physiotherapy']
5,Capgemini Call Center - BPO - Customer Service Great Place To Work 38k,Capgemini,"Hybrid - Kolkata, Chandigarh, Indore, Hyderabad/Secunderabad, Pune, Chennai, Jaipur, Bangalore/Bengaluru, Mumbai (All Areas)",0-5 Yrs,"['english', 'bpo', 'customer service', 'mnc', 'email', 'tcs', 'hr', 'teleperformance']"
6,Oracle HCM - Technical Consultants / Leads /Architects,Oracle,"Hybrid - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",6-11 Yrs,"['oracle fusion hcm', 'it skills', 'testing', 'cloud', 'project management', 'oracle', 'bpo', 'project management']"
7,Urgent Hiring || Java Full Stack Developer || Wipro Limited,Wipro,"Hybrid - Bhubaneswar, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,"['angularjs', 'spring boot', 'java fullstack', 'microservices', 'angular', 'it skills', 'java', 'cloud']"
8,Global Client Group- Client Banker,Icici Bank,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",10-16 Yrs,"['client banker', 'credit analysis', 'balance sheet', 'credit appraisal']"
9,Full Stack Lead - Backend & Frontend Technologies,SunRise HR Solutions,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru",5-7 Yrs,"['javascript', 'rest', 's3', 'node js', 'cloud front', 'typescript', 'html', 'canvas']"
