,roles,companies,locations,experience,skills
0,Consult Radiologist,SRL Diagnostics,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Trivandrum/Thiruvananthapuram, Mumbai (All Areas)",0-2 Yrs,"['mdaemon', 'ct', 'usg', 'radiology']"
1,Embedded Test Engineer,Cognizant,"Temp. WFH - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-7 Yrs,"['iot', 'embedded', 'qc life cycle', 'defect management', 'api testing', 'testing', 'it skills', 'device testing']"
2,Instructional Designer,Accenture,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,"['instructional design', 'captivate', 'e-learning', 'storyboarding', 'wbt', 'sap enable now', 'articulate storyline', 'camtasia']"
3,JOB Opening For Coupa,HCLTech,"Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,"['procurement', 'implementing', 'coupa', 'troubleshooting', 'erp', 'database optimization', 'scm', 'coupa strategic']"
4,Oracle HCM - Technical Consultants / Leads /Architects,Oracle,"Hybrid - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",6-11 Yrs,"['oracle fusion hcm', 'it skills', 'testing', 'cloud', 'project management', 'oracle', 'bpo', 'project management']"
5,Urgent Hiring || Java Full Stack Developer || Wipro Limited,Wipro,"Hybrid - Bhubaneswar, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,"['angularjs', 'spring boot', 'java fullstack', 'microservices', 'angular', 'it skills', 'java', 'cloud']"
6,Global Client Group- Client Banker,Icici Bank,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",10-16 Yrs,"['client banker', 'credit analysis', 'balance sheet', 'credit appraisal']"
7,People Advisor Senior Analyst,Accenture,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",3-5 Yrs,"['business process', 'change management', 'conflict management', 'consulting', 'excel', 'written communication', 'performance management', 'performance improvement']"
8,Automation Test Engineer + Tosca,Cognizant,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",5-8 Yrs,"['tosca', 'automation testing', 'tosca automation', 'selenium', 'apis', 'tosca salesforce', 'api testing', 'devops']"
9,HCL Tech hiring For ServiceNow,HCLTech,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,"['risk compliance', 'servicenow', 'fedramp']"
